Date,Precipitation,TempAvg,TempMin,TempMax,Bici,Edad_Usuario,n_CO,n_UVA,n_UVB
2019-03-29,0.0,70,,,30392,35.29945380363254,10.884374999999999,22.580181818181817,22.580181818181817
2019-03-30,,,,,14856,34.96674744211093,9.587499999999999,20.670636363636362,20.670636363636362
2019-03-31,0.0,69,57,85,11154,35.37690514613592,5.778125000000001,19.087181818181815,19.087181818181815
2019-04-01,0.0,73,56,82,20149,35.07409797012259,13.653124999999998,16.570681818181818,16.570681818181818
2019-04-02,0.0,73,55,80,9800,35.16642857142857,8.321874999999999,20.418090909090907,20.418090909090907
2019-04-03,,,,,26394,35.03792528604986,7.85625,13.850363636363635,13.850363636363635
2019-04-04,0.0,67,55,81,31022,35.018470762684544,5.906250000000001,20.383909090909093,20.383909090909093
2019-04-05,,69,59,76,12459,35.32257805602376,8.44375,13.385545454545456,13.385545454545456
2019-04-06,,70,57,76,30536,34.93371757925072,6.034375,11.108181818181817,11.108181818181817
2019-04-07,,,,,27725,35.254427412082954,7.528125000000002,19.924909090909093,19.924909090909093
2019-04-08,0.0,62,55,82,10829,35.52821128451381,3.4,23.333909090909092,23.333909090909092
2019-04-09,,,,,31061,34.94204951546956,4.0625,17.19872727272727,17.19872727272727
2019-04-10,0.0,71,,,,,4.7375,17.529272727272726,17.529272727272726
2019-04-11,0.0,74,53,83,,,8.978125,16.78081818181818,16.78081818181818
2019-04-12,0.0,74,,,,,10.696875000000002,16.052454545454545,16.052454545454545
2019-04-13,0.0,71,,,13038,35.1113667740451,5.496874999999999,25.86581818181818,25.86581818181818
2019-04-14,0.0,67,55,85,11127,35.35292531679698,8.874999999999998,21.36327272727273,21.36327272727273
2019-04-15,0.0,74,54,85,26882,35.02127817870694,7.524999999999999,20.355181818181816,20.355181818181816
2019-04-16,0.0,71,54,87,27199,34.97316077796978,5.94375,21.27463636363636,21.27463636363636
2019-04-17,0.0,74,60,87,24950,35.1112625250501,7.109375000000001,21.218454545454545,21.218454545454545
2019-04-18,0.0,76,60,89,10941,35.34247326569783,6.2437499999999995,25.99954545454545,25.99954545454545
2019-04-19,0.0,67,51,90,8446,35.35117215249822,2.3281250000000004,21.517818181818182,21.517818181818182
2019-04-20,0.0,63,,,8550,35.915906432748535,3.7000000000000006,26.26718181818182,26.26718181818182
2019-04-21,0.0,72,,,9478,35.749314201308295,4.731249999999999,25.97118181818182,25.97118181818182
2019-04-22,0.0,72,57,88,26482,34.95793369080885,7.856249999999999,20.976545454545455,20.976545454545455
2019-04-23,0.0,70,,,30126,34.745568611830315,8.365625,18.64863636363636,18.64863636363636
2019-04-24,,,,,30168,34.90771678599841,7.228124999999998,17.569454545454548,17.569454545454548
2019-04-25,,,,,29736,35.046744686575195,6.115625,17.69336363636364,17.69336363636364
2019-04-26,0.0,65,57,87,21801,35.403788817026744,4.034375000000001,18.723181818181818,18.723181818181818
2019-04-27,0.02,69,56,81,51,32.27450980392157,6.3343750000000005,15.582727272727272,15.582727272727272
2019-04-28,0.0,70,56,84,10633,35.32784726793943,7.021875000000001,13.550727272727272,13.550727272727272
2019-04-29,0.01,70,,,28906,35.106759842247286,9.631250000000001,13.510272727272728,13.510272727272728
2019-04-30,0.0,67,55,84,30306,35.117237510723946,7.640625,17.397727272727273,17.397727272727273
2019-05-01,0.0,70,55,85,10379,35.70546295404181,11.406249999999998,16.083454545454547,16.083454545454547
2019-05-02,0.03,69,55,86,29747,35.15214979661815,11.024999999999999,20.84390909090909,20.84390909090909
2019-05-03,0.0,72,57,85,28921,35.173057639777326,10.484375000000002,19.656000000000002,19.656000000000002
2019-05-04,0.0,69,57,83,30425,35.07904683648316,6.275000000000002,16.645363636363637,16.645363636363637
2019-05-05,,,,,11004,35.363413304253,6.337499999999999,13.629636363636363,13.629636363636363
2019-05-06,0.05,68,50,82,26887,35.01242236024845,6.2375,11.886181818181818,11.886181818181818
2019-05-07,0.0,73,,,28884,35.265233347181834,5.353124999999999,22.178454545454546,22.178454545454546
2019-05-08,0.0,73,56,87,24023,35.264871165133414,4.612499999999999,19.645,19.645
2019-05-09,0.0,74,58,85,30485,35.08712481548302,5.056249999999999,21.11509090909091,21.11509090909091
2019-05-10,0.0,73,,,,,4.234375000000001,18.857545454545455,18.857545454545455
2019-05-11,0.0,74,59,88,,,7.696875000000001,15.84727272727273,15.84727272727273
2019-05-12,0.0,75,59,87,,,10.703125,15.947363636363635,15.947363636363635
2019-05-13,0.0,78,59,87,30011,35.12602045916497,7.325000000000001,13.040272727272725,13.040272727272725
2019-05-14,0.0,74,58,86,30268,35.08494119201797,9.25625,16.64472727272727,16.64472727272727
2019-05-15,0.0,72,58,89,26757,35.310946668161606,6.278125,15.464090909090912,15.464090909090912
